graph_type,method,repetition,dimension,depth,max_parents,sparsity,correlation,observed_fraction,observation_strategy,block_size,runtime_seconds,ess_mean,ess_per_second,mean_rmse,variance_rmse,covariance_frobenius_error,posterior_condition_number,mean_abs_posterior_corr,max_abs_posterior_corr,precision_density,block_within_precision_mass,block_cut_ratio,n_blocks,mean_block_size,max_block_size_actual,gibbs_spectral_radius,rb_mean_rmse,rb_variance_rmse
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,uniform,8,0.036419613000020945,194.28759208382874,5334.6967768086115,0.1078901766458509,0.12956280376589926,2.594697005720574,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.17464256947251655,0.8253574305274834,5,7.2,8,0.802731395051616,0.09433905511912191,0.09659314535689528
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,uniform,8,0.04940466599998672,254.04998149095192,5142.226474945103,0.07733808872879316,0.13591311646424398,2.34185686334902,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.28045012552570064,0.7195498744742994,7,5.142857142857143,8,0.7564327352187796,0.05517457157571908,0.09790130654756359
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,uniform,12,0.023201251000045886,273.0663495092999,11769.466633879349,0.0675276201751844,0.06987420958761252,1.8035079137129555,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.3603678882746748,0.6396321117253252,3,12.0,12,0.7146837474002099,0.05367560572902197,0.03805306323321604
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,uniform,12,0.02137120000008963,259.1996034040354,12128.453404719825,0.06476777800342344,0.06435293912060921,1.5035093050367783,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.3249779342334482,0.6750220657665518,3,12.0,12,0.7622396069998264,0.05065220240774308,0.03464779298221253
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,uniform,12,0.02894035500003156,245.5406626840793,8484.36941025124,0.05035571147781522,0.12390442237616324,2.2094502157744853,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.3191572639747349,0.6808427360252651,4,9.0,12,0.7865778545561554,0.038595836130745374,0.06316817109394843
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,uniform,16,0.021697928999969918,320.1559771767234,14755.13986506119,0.048457342296943144,0.0649638549587761,1.58089356363243,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.4767265960971811,0.5232734039028188,3,12.0,16,0.7201492889723974,0.037746621922251346,0.04975104220060796
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,uniform,16,0.02160441599994556,250.53253615186213,11596.357714667847,0.054210757202472,0.06616120524461745,1.6561827710245842,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.3724997971208042,0.6275002028791958,3,12.0,16,0.7608622943987896,0.03991571185578994,0.022120731865900235
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,uniform,16,0.0444419079999534,325.8339834908039,7331.683047702308,0.07834322997137479,0.1277630756695299,1.9034946137551967,62.35121575322293,0.11914679449313693,0.6354690867986503,0.3746031746031746,0.5312131405469132,0.46878685945308685,6,6.0,16,0.7275901363653007,0.053299318232893154,0.07402927935411464
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,deep,2,0.11438221599996723,148.8615978027611,1301.4400578041236,0.11860946270781618,0.17616130659514254,3.53345420921073,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.02613899910474837,0.9738610008952516,18,2.0,2,0.8589124664366579,0.1037336726925235,0.14419640285377008
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,deep,2,0.11797448899994833,144.47050396003908,1224.59105510601,0.13778809703968936,0.17810034810571368,3.493176629794584,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.018482654658816242,0.9815173453411837,18,2.0,2,0.8545938411000455,0.12391911314958995,0.14829679599385154
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,deep,2,0.12500139700000545,137.9911646935374,1103.9169801720807,0.07700212862629481,0.14232499279332292,3.585704555410787,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.16837202116942232,0.8316279788305777,20,1.8,2,0.8350791432456691,0.06032927192632787,0.11674082451358413
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,deep,4,0.058443993999958366,148.0233301572977,2532.7380972183923,0.16033309322599804,0.16516557787811015,3.021515589816913,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.14386781249338224,0.8561321875066178,9,4.0,4,0.8308435511717482,0.1429145008846594,0.12925650801378452
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,deep,4,0.05801348499994674,146.03867413047377,2517.3228970920786,0.07008922573034565,0.17618295780240584,2.9021215706418397,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.07026365354069639,0.9297363464593036,9,4.0,4,0.8636031190874298,0.05951444702478392,0.15373080525044172
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,deep,4,0.06465453700002399,152.2651519118848,2355.057494446651,0.060895799700808904,0.16436220779963318,3.879293607246337,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.24916515762395364,0.7508348423760464,10,3.6,4,0.8694111675787758,0.03840993045319504,0.11501452774341261
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,deep,8,0.033991557000035755,188.05485749256994,5532.39904522091,0.0794807927928407,0.10498280179149928,2.4017806842063147,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.3104901431488059,0.6895098568511941,5,7.2,8,0.831232096830413,0.063947647064806,0.06640239301111038
