graph_type,method,repetition,dimension,depth,max_parents,sparsity,correlation,observed_fraction,observation_strategy,initial_state_strategy,n_observed,n_latent,runtime_seconds,ess_mean,ess_min,ess_max,ess_per_second,weighted_ess,weighted_ess_fraction,mean_rmse,variance_rmse,covariance_frobenius_error,acceptance_rate,posterior_condition_number,mean_abs_posterior_corr,max_abs_posterior_corr,precision_density,n_edges,graph_density,empirical_depth,observed_mean_depth,observed_mean_descendants,observed_mean_children,block_within_precision_mass,block_cut_ratio,n_blocks,mean_block_size,max_block_size_actual,gibbs_spectral_radius,rb_mean_rmse,rb_variance_rmse
layered,single_site_gibbs,0,36,4.0,,0.15,0.3,0.4,deep,prior,14,22,0.04180801099994369,418.8896240040616,275.6797674638318,500.0,10019.362652880707,,,0.04309819478837179,0.04055066144434594,1.125620267985803,,2.5797839474505153,0.015300654075827112,0.2749050315784149,0.08225108225108226,36,0.05714285714285714,4,1.2857142857142858,1.3571428571428572,0.8571428571428571,0.0,1.0,22.0,1.0,1.0,0.1727805914280624,,
layered,block_depth,0,36,4.0,,0.15,0.3,0.4,deep,prior,14,22,0.022526674000005187,446.3648973106221,271.37432200982886,500.0,19814.94903821662,,,0.033413009509630456,0.07867064905026613,1.0202328637432323,,2.5797839474505153,0.015300654075827112,0.2749050315784149,0.08225108225108226,36,0.05714285714285714,4,1.2857142857142858,1.3571428571428572,0.8571428571428571,0.01812749708484366,0.9818725029151564,4.0,5.5,8.0,0.18079320220117368,0.008411604043561298,0.003723665879085758
layered,block_topological,0,36,4.0,,0.15,0.3,0.4,deep,prior,14,22,0.018909618000066075,431.78515142601304,327.69426921190444,500.0,22834.15515979774,,,0.055163634780605264,0.06177610246295024,1.0464347612800688,,2.5797839474505153,0.015300654075827112,0.2749050315784149,0.08225108225108226,36,0.05714285714285714,4,1.2857142857142858,1.3571428571428572,0.8571428571428571,0.23824757642171251,0.7617524235782875,3.0,7.333333333333333,8.0,0.1271497135827393,0.011507072204617165,0.0046328565828956825
layered,block_random,0,36,4.0,,0.15,0.3,0.4,deep,prior,14,22,0.016808296000021983,451.79457043245833,273.2746917163588,500.0,26879.260719341655,,,0.045230324232905,0.07295200891282579,1.0606271055704977,,2.5797839474505153,0.015300654075827112,0.2749050315784149,0.08225108225108226,36,0.05714285714285714,4,1.2857142857142858,1.3571428571428572,0.8571428571428571,0.38365513656576533,0.6163448634342347,3.0,7.333333333333333,8.0,0.12714971358273933,0.008601704868840387,0.0030704673075308
layered,block_precision_bfs,0,36,4.0,,0.15,0.3,0.4,deep,prior,14,22,0.04698000400003366,460.93013594040343,249.6361224866635,500.0,9811.19831194721,,,0.04012904329793322,0.07084594689140264,1.0699428899900463,,2.5797839474505153,0.015300654075827112,0.2749050315784149,0.08225108225108226,36,0.05714285714285714,4,1.2857142857142858,1.3571428571428572,0.8571428571428571,0.7963945451146218,0.20360545488537818,10.0,2.2,8.0,0.05513242357011722,0.004650971032189123,0.0017896842763030043
layered,rw_mh,0,36,4.0,,0.15,0.3,0.4,deep,prior,14,22,0.006186036000030981,10.937437811658627,4.868814612996601,18.01549977305918,1768.0850566669594,,,0.35618699554532146,0.3829875496103996,4.758767912474604,0.32142857142857145,2.5797839474505153,0.015300654075827112,0.2749050315784149,0.08225108225108226,36,0.05714285714285714,4,1.2857142857142858,1.3571428571428572,0.8571428571428571,,,,,,,,
layered,mala_diag,0,36,4.0,,0.15,0.3,0.4,deep,prior,14,22,0.02008854399991833,40.4822600093981,24.02729842137134,59.06227423359796,2015.1913453539828,,,0.14720760950310233,0.13839027492153294,2.302068059659134,0.9157142857142857,2.5797839474505153,0.015300654075827112,0.2749050315784149,0.08225108225108226,36,0.05714285714285714,4,1.2857142857142858,1.3571428571428572,0.8571428571428571,,,,,,,,
layered,likelihood_weighting_sis,0,36,4.0,,0.15,0.3,0.4,deep,prior,14,22,0.0014275720000114234,375.24672835515463,375.24672835515463,375.24672835515463,262856.60432689346,375.24672835515463,0.7504934567103093,0.03447560971350031,0.06350992404213607,1.1047292009938252,,2.5797839474505153,0.015300654075827112,0.2749050315784149,0.08225108225108226,36,0.05714285714285714,4,1.2857142857142858,1.3571428571428572,0.8571428571428571,,,,,,,,
layered,single_site_gibbs,0,36,4.0,,0.15,0.8,0.1,uniform,prior,4,32,0.06398987699992631,279.2732216418331,107.00431969426062,500.0,4364.334403114335,,,0.09122658483216002,0.10187505424107009,2.230168677608228,,17.717737418241203,0.0271608649257213,0.6460631199445792,0.06653225806451613,24,0.0380952380952381,4,0.5,0.0,0.0,0.0,1.0,32.0,1.0,1.0,0.6876082852601758,,
layered,block_depth,0,36,4.0,,0.15,0.8,0.1,uniform,prior,4,32,0.020288724000010916,262.55900648496197,68.25031424168004,500.0,12941.129589264496,,,0.06982130905214493,0.11054574492881367,2.135358057033276,,17.717737418241203,0.0271608649257213,0.6460631199445792,0.06653225806451613,24,0.0380952380952381,4,0.5,0.0,0.0,0.13734930637294138,0.8626506936270586,4.0,8.0,9.0,0.7420569267876672,0.052809124208624846,0.06393597994098076
layered,block_topological,0,36,4.0,,0.15,0.8,0.1,uniform,prior,4,32,0.020857563999925333,281.06378719216144,89.25575747702138,500.0,13475.388937709486,,,0.12680892901443852,0.07899274809022923,1.941916116747812,,17.717737418241203,0.0271608649257213,0.6460631199445792,0.06653225806451613,24,0.0380952380952381,4,0.5,0.0,0.0,0.1778525913577748,0.8221474086422252,4.0,8.0,8.0,0.7079968939978591,0.09881811010541024,0.027041004231468792
layered,block_random,0,36,4.0,,0.15,0.8,0.1,uniform,prior,4,32,0.020212467999954242,305.08380417527735,102.85228558302212,500.0,15093.842284671422,,,0.12201343117782038,0.09922157774603596,1.9740249986200906,,17.717737418241203,0.0271608649257213,0.6460631199445792,0.06653225806451613,24,0.0380952380952381,4,0.5,0.0,0.0,0.06907291884233162,0.9309270811576684,4.0,8.0,8.0,0.6876082852601757,0.09353543124787976,0.03985466697722494
layered,block_precision_bfs,0,36,4.0,,0.15,0.8,0.1,uniform,prior,4,32,0.07585137099999884,416.2665511072984,182.14912446513003,500.0,5487.923891412653,,,0.04252658743227382,0.1022753276144815,1.9639740740260292,,17.717737418241203,0.0271608649257213,0.6460631199445792,0.06653225806451613,24,0.0380952380952381,4,0.5,0.0,0.0,0.7628758135697556,0.23712418643024435,16.0,2.0,8.0,0.5229924343120084,0.01209109022909106,0.01669876863429066
layered,rw_mh,0,36,4.0,,0.15,0.8,0.1,uniform,prior,4,32,0.005555313000058959,9.040199530333439,4.504736766708332,20.63870797880657,1627.3069636647826,,,0.640963246903374,0.7860292128209455,10.277380147861995,0.18285714285714286,17.717737418241203,0.0271608649257213,0.6460631199445792,0.06653225806451613,24,0.0380952380952381,4,0.5,0.0,0.0,,,,,,,,
layered,mala_diag,0,36,4.0,,0.15,0.8,0.1,uniform,prior,4,32,0.02071741000008842,27.864069376450015,17.136452526469558,56.44678879227602,1344.9591129552919,,,0.27161969426645155,0.3548486141471622,5.558307478958137,0.8685714285714285,17.717737418241203,0.0271608649257213,0.6460631199445792,0.06653225806451613,24,0.0380952380952381,4,0.5,0.0,0.0,,,,,,,,
layered,likelihood_weighting_sis,0,36,4.0,,0.15,0.8,0.1,uniform,prior,4,32,0.0013799859999608088,240.48946752276228,240.48946752276228,240.48946752276228,174269.49804533678,240.48946752276228,0.4809789350455246,0.07288772139629059,0.14094637890579778,2.9648853117136933,,17.717737418241203,0.0271608649257213,0.6460631199445792,0.06653225806451613,24,0.0380952380952381,4,0.5,0.0,0.0,,,,,,,,
layered,single_site_gibbs,0,36,4.0,,0.15,0.8,0.1,shallow,prior,4,32,0.05904991299996709,305.1751169164001,102.15650881914786,500.0,5168.087494329927,,,0.10834355088478051,0.10422835016428555,1.962333315416989,,16.371593112433686,0.02034784148471815,0.7006462582897404,0.04838709677419355,24,0.0380952380952381,4,0.25,1.75,1.5,0.0,1.0,32.0,1.0,1.0,0.6876082852601757,,
layered,block_depth,0,36,4.0,,0.15,0.8,0.1,shallow,prior,4,32,0.020538995000038085,289.1421664131403,90.6059776250416,500.0,14077.717357280828,,,0.062152945737502074,0.1067815110126103,2.1868487366071045,,16.371593112433686,0.02034784148471815,0.7006462582897404,0.04838709677419355,24,0.0380952380952381,4,0.25,1.75,1.5,0.10727826506758999,0.89272173493241,4.0,8.0,9.0,0.7203419551887585,0.03315900312582175,0.04717151050860862
layered,block_topological,0,36,4.0,,0.15,0.8,0.1,shallow,prior,4,32,0.020918319999964297,290.921253485334,89.11075031723988,500.0,13907.486523097004,,,0.09716272178062794,0.09044576078574686,1.9547041715193263,,16.371593112433686,0.02034784148471815,0.7006462582897404,0.04838709677419355,24,0.0380952380952381,4,0.25,1.75,1.5,0.10727826506758999,0.89272173493241,4.0,8.0,8.0,0.7203419551887585,0.07653998990957747,0.037301050992609545
